iter	Passed	Remaining
377	606	997
378	607	995
379	608	993
380	617	1003
381	618	1000
382	619	997
383	620	994
384	620	991
385	621	988
386	622	985
387	623	983
388	624	980
389	628	983
390	629	980
391	630	978
392	631	976
393	632	973
394	633	970
395	634	967
396	635	965
397	636	962
398	637	959
399	638	957
400	639	954
401	642	956
402	644	954
403	645	952
404	646	949
405	647	947
406	648	944
407	649	942
408	650	939
409	651	937
410	652	934
411	653	932
412	653	929
413	657	931
414	659	929
415	660	927
416	662	925
417	662	923
418	663	920
419	664	917
420	665	915
421	666	913
422	667	910
423	668	908
424	669	906
425	673	907
426	674	905
427	675	903
428	677	901
429	678	898
430	679	896
431	680	894
432	680	891
433	682	889
434	686	891
435	687	889
436	688	887
437	689	885
438	690	882
439	691	880
440	692	878
441	693	876
442	694	873
443	695	871
444	696	869
445	698	867
446	699	865
447	700	863
448	701	861
449	702	858
450	703	856
451	704	854
452	705	851
453	706	850
454	708	848
455	709	846
456	710	843
457	710	841
458	715	842
459	716	840
460	717	839
461	718	836
462	719	834
463	720	832
464	721	830
465	722	827
466	723	825
467	724	823
